feature,dim,r,p
right_knee_angle_min,0,-0.49396373395180965,9.454997865615981e-26
right_knee_angle_min,1,-0.4620609755461767,2.4427448046151463e-22
right_knee_angle_min,2,-0.5674813286558142,3.94013689478742e-35
watch_pitch_mean,0,0.22711493762013613,4.9941265559397145e-06
watch_pitch_mean,1,0.08524393876729806,0.09025478325929624
watch_pitch_mean,2,0.7013528820073007,6.753701387245405e-60
watch_mag_y_min,0,0.22344854984728812,7.142324259273535e-06
watch_mag_y_min,1,-0.17400984224577584,0.0005044567728607831
watch_mag_y_min,2,0.5595068186599675,5.348732513179337e-34
watch_grav_y_mean,0,-0.2303001954951992,3.6421636292513017e-06
watch_grav_y_mean,1,-0.07645020283942516,0.12882442019334084
watch_grav_y_mean,2,-0.7039986903144154,1.583159406018196e-60
watch_mag_y_rms,0,-0.2579333477794391,1.9408591580292775e-07
watch_mag_y_rms,1,-0.2168586196343634,1.3385412295628714e-05
watch_mag_y_rms,2,-0.6383502878678002,1.042724114825233e-46
watch_quat_y_rms,0,-0.41814329215989154,3.4291314353692113e-18
watch_quat_y_rms,1,-0.15531200345012228,0.001936972928122859
watch_quat_y_rms,2,0.3168570853137207,1.1005702936923738e-10
watch_quat_x_mean,0,0.1449054280762016,0.003855695403331353
watch_quat_x_mean,1,-0.2358432073900584,2.0800135672170808e-06
watch_quat_x_mean,2,0.6823847908865761,1.4141075237853656e-55
watch_quat_y_mean,0,0.36888624505505435,3.2801602366911676e-14
watch_quat_y_mean,1,0.6625217305577407,2.172275220946862e-51
watch_quat_y_mean,2,-0.2205659030804293,9.423006551688885e-06
watch_pitch_min,0,0.20928483887718546,2.691265147913451e-05
watch_pitch_min,1,-0.24462977463520527,8.318125046153523e-07
watch_pitch_min,2,0.5342766322486425,1.3112685165427928e-30
right_knee_angle_range,0,0.4593514205146052,4.586991796405528e-22
right_knee_angle_range,1,0.575252269880399,2.895080581515243e-36
right_knee_angle_range,2,0.5997412385078913,4.81911435263748e-40
watch_grav_y_max,0,-0.21102452251386553,2.297424910100666e-05
watch_grav_y_max,1,0.2842394581648459,8.532017421132857e-09
watch_grav_y_max,2,-0.5260209074160465,1.4657736195026004e-29
airpods_accZ_min,0,-0.06018761489079713,0.23208083402874347
airpods_accZ_min,1,0.14283661282801766,0.004398876789231348
airpods_accZ_min,2,-0.7063446556345314,4.315432097678248e-61
watch_mag_x_max,0,-0.30568050663179025,5.195851230333753e-10
watch_mag_x_max,1,0.17054050235120594,0.0006544487578530965
watch_mag_x_max,2,0.3933606491160757,4.1799271437215356e-16
airpods_gravX_min,0,-0.8615944521119316,4.393725450863425e-118
airpods_gravX_min,1,-0.12685941268412163,0.011513776319215413
airpods_gravX_min,2,-0.5777237824123038,1.2435691873304563e-36
watch_grav_x_rms,0,-0.2734369454852444,3.204849980302578e-08
watch_grav_x_rms,1,0.22152304816993246,8.59816069623177e-06
watch_grav_x_rms,2,0.31923864937256,7.840020801704499e-11
watch_roll_rms,0,-0.20965164667860992,2.6032472503161544e-05
watch_roll_rms,1,0.29024656285056105,3.987047055515654e-09
watch_roll_rms,2,0.34476469414027205,1.706861236210357e-12
watch_mag_y_mean,0,0.2698900759943529,4.8882578423785876e-08
watch_mag_y_mean,1,0.2642471315414864,9.450409624295682e-08
watch_mag_y_mean,2,0.6343266883311159,5.716372520836541e-46
watch_mag_x_mean,0,-0.25246155337325393,3.5667620710062274e-07
watch_mag_x_mean,1,-0.6678876246898178,1.729318785287299e-52
watch_mag_x_mean,2,0.25989764536260546,1.554654648447539e-07
right_ankle_angle_range,0,0.16301568106850128,0.001131852483802195
right_ankle_angle_range,1,0.5554931589430688,1.9359099832938122e-33
right_ankle_angle_range,2,0.47440036932443974,1.2893131093563237e-23
watch_grav_x_min,0,0.5032672648851209,8.151950079575513e-27
watch_grav_x_min,1,0.20671521546468385,3.391671046178686e-05
watch_grav_x_min,2,-0.2315219630256406,3.2229167160849474e-06
airpods_qy_mean,0,-0.8405754370083569,5.999710170396126e-107
airpods_qy_mean,1,-0.07106872350042437,0.1580782460492375
airpods_qy_mean,2,-0.5532629523277961,3.926747152649403e-33
airpods_gravX_mean,0,-0.8944247057334896,9.05544464058311e-140
airpods_gravX_mean,1,-0.16281332700890278,0.0011482877908118596
airpods_gravX_mean,2,-0.6021259786553237,1.9835542695760235e-40
watch_mag_x_rms,0,-0.05861988575015045,0.24449109952618067
watch_mag_x_rms,1,0.5777754447639736,1.2217022791984963e-36
watch_mag_x_rms,2,0.32260489369120127,4.8293285320870034e-11
left_knee_angle_range,0,0.3551182737655083,3.260855353479014e-13
left_knee_angle_range,1,0.6799525983663622,4.796276636589616e-55
left_knee_angle_range,2,0.525352118611509,1.77721983157961e-29
watch_quat_x_min,0,0.03482809062800369,0.48950958955684903
watch_quat_x_min,1,-0.5964366225317124,1.628859711896223e-39
watch_quat_x_min,2,0.4188992735756496,2.94296720159671e-18
right_trunk_angle_range,0,0.28008554345508907,1.4288785553614124e-08
right_trunk_angle_range,1,-0.2588231575912187,1.7556641952702738e-07
right_trunk_angle_range,2,-0.2675882539786952,6.408197305236573e-08
right_ankle_angle_min,0,-0.28436645638009955,8.397441115561844e-09
right_ankle_angle_min,1,-0.42522845396529607,8.058778048721041e-19
right_ankle_angle_min,2,-0.28595912665674683,6.874818449297087e-09
