fault,silhouette,purity,nn_separability,density_ratio
heel_lift,0.1810931093434875,0.9949999999999999,1.874191872991237,940965.5471546802
weak_bracing,0.40083271711588087,0.9888888888888889,3.575972106288299,2.3292902187264113e+38
butt_wink,0.23331150269772122,0.9597826086956521,3.4059589480218633,4.7884176440010664e+60
poor_stance,0.15924649757442572,0.9529411764705883,1.8425930925072693,541986584.9699175
forward_lean,0.22043863924504226,0.9275167785234899,2.1570189129739767,2.510436757925607e+52
weight_shift_to_toes,0.12555835883063385,0.9214285714285714,1.5414289903597924,566198.257290362
chest_collapse,0.23214281962983535,0.9207547169811322,1.7831873818368709,6.889402141799709e+16
toe_in,-0.028931352037311828,0.9052631578947368,0.92364930787118,374.97650569224464
good_technique,0.10849838180848799,0.8899999999999999,1.1540295229469362,28538.493415358807
shallow_depth,0.2597357583058604,0.8633928571428572,2.392046712142467,5.208199006260278e+53
hip_shift,0.10471046274824047,0.8212121212121213,0.9044424184609415,2680.380458237407
asymmetrical_pattern,0.10471046274824047,0.8212121212121213,0.9044424184609415,2680.380458237407
excessive_knee_travel,0.08349986178437398,0.8175675675675675,1.2797646296390248,307086.0468813937
toe_out,-0.09316076662020197,0.8157894736842106,0.9077712307030255,364.7554563025764
poor_breathing,0.17694130444281594,0.7976190476190477,1.6508878869977166,1.132253928286403e+17
excessive_depth,-0.053265416925643426,0.7710526315789474,0.9086608124620602,43691164988901.875
lumbar_extension,-0.018997622184225973,0.7611111111111111,1.0598623216217322,447.6760849032692
dropping_too_fast,0.0322044343915727,0.74,0.7100924649840307,60.64936395440968
unintentional_pause,-0.0037928700501694604,0.5782608695652174,0.5219392534547846,34.85674346000963
knee_varus,-0.040048087222762895,0.5739130434782609,0.548546557628149,41.33336164584475
knee_valgus,-0.04919936646285536,0.4888888888888888,0.4656977296188595,27.65430303736359
