fault,difficulty,macro_f1,confusion,support,cooccur,embedding
knee_valgus,0.7939452701073656,0.4125400112973075,0.256578947365045,18,0.7499999960625,0.9110081357027755
lumbar_extension,0.7682839732705617,0.5098039215686274,0.4133333332718222,18,0.99999999475,0.8498701951998462
excessive_depth,0.7567401835978134,0.46308724832214765,0.49999999995454547,38,0.5131578920427632,0.9192391156416311
knee_varus,0.7408924479447032,0.4805194805194805,0.49999999991666666,23,0.499999997375,0.8924830346177245
toe_in,0.7246327061454779,0.4968553459119497,0.49999999949999996,19,0.499999997375,0.8699792252984777
hip_shift,0.6848708505941716,0.5138888888888888,0.47646383463706415,66,0.7499999960625,0.5994456678428551
chest_collapse,0.6789497806048397,0.4894452626411389,0.3220436280065861,53,0.99999999475,0.34148202901131064
good_technique,0.6131639843983103,0.49044585987261147,0.4999999998333333,20,0.0,0.5917777143631219
poor_breathing,0.587280512562087,0.5698924731182795,0.22896281799155183,42,0.8452380908005954,0.45322746066717745
heel_lift,0.5631773783412894,0.6,0.09090909090791027,20,0.99999999475,0.4448228864593017
excessive_knee_travel,0.5450249919676502,0.6533333333333333,0.22939068099878923,74,0.9391891842584461,0.642382673328258
weight_shift_to_toes,0.5351521333517075,0.661702518845376,0.20238095237587608,56,0.99999999475,0.5572428924489015
unintentional_pause,0.5330582115559711,0.5398849712428107,0.15131578947169322,23,0.0,0.819090938784795
weak_bracing,0.5047517214230621,0.5487179487179488,0.14473684210335871,36,0.7222222184305557,0.0
shallow_depth,0.4577916256028463,0.6402230617017449,0.3345439870748479,112,0.5892857111919644,0.2856251411603169
forward_lean,0.44166082543289725,0.696969696969697,0.30158730157960195,149,0.8674496598754198,0.36517501433690885
dropping_too_fast,0.42243480273263634,0.723899913718723,0.11594202898382693,40,0.499999997375,0.7462209403859824
toe_out,0.3956159420041347,0.868421052631579,0.19999999996,19,0.7499999960625,0.9999999979756817
asymmetrical_pattern,0.3417304621949473,0.841897233201581,0.1997703788599522,66,0.7499999960625,0.5994456678428551
poor_stance,0.32542327723512826,0.7916666666666667,0.14285714285459183,119,0.6617647024080883,0.4890473801906987
butt_wink,0.22837014655859966,0.8087883802169517,0.10483870967572842,276,0.6947463731641758,0.33911624261129314
